Source,Target,Type,Id,Label,timeset,Weight,relation,language
Nobletea spiritului – Un ideal uitat,Rob Riemen,Undirected,1624,,,1,Authored,Dutch
Nunta la malul marii,Abdelkader Benali,Undirected,1625,,,1,Authored,Dutch
Fructul pasiunii,Karel Glastra van Loon,Undirected,1626,,,1,Authored,Dutch
Copilul-umbra,P.F. Thomèse,Undirected,1627,,,1,Authored,Dutch
in ochii Luciei,Arthur Japin,Undirected,1628,,,1,Authored,Dutch
Jurnalul Annei Frank,Anne Frank,Undirected,1629,,,1,Authored,Dutch
Naluciri,J. Bernlef,Undirected,1630,,,1,Authored,Dutch
Istoria calvitiei mele,Marek van der Jagt,Undirected,1631,,,1,Authored,Dutch
Siegfried - O idila neagra,Harry Mulisch,Undirected,1632,,,1,Authored,Dutch
Virtuozul,Margriet de Moor,Undirected,1633,,,1,Authored,Dutch
Legile,Connie Palmen,Undirected,1634,,,1,Authored,Dutch
Marea dorinta,Marcel Möring,Undirected,1635,,,1,Authored,Dutch
Amurgul templierilor,Hanny Alders,Undirected,1636,,,1,Authored,Dutch
Un cerc in iarba,Oek de Jong,Undirected,1637,,,1,Authored,Dutch
Rosu ucigas,Jeroen Brouwers,Undirected,1638,,,1,Authored,Dutch
Strain pentru totdeauna,Hella S. Haasse,Undirected,1639,,,1,Authored,Dutch
Supertex,Leon de Winter,Undirected,1640,,,1,Authored,Dutch
Savantul si traficantii,Leon de Winter,Undirected,1641,,,1,Authored,Dutch
Mult mai sus de al noualea cer,Griet op de Beeck,Undirected,1642,,,1,Authored,Dutch
Mama mea are un nou iubit,Dimitri Verhulst,Undirected,1643,,,1,Authored,Dutch
Orasul ocupat,Paul van Ostaijen,Undirected,1644,,,1,Authored,Dutch
Colivia de aur,Anna Castagnoli,Undirected,1645,,,1,Authored,Dutch
Proiectul,Brigitte Minne,Undirected,1646,,,1,Authored,Dutch
Banda trunchiului. O poveste romantica despre briganzi şi dragoste,Paul van Ostaijen,Undirected,1647,,,1,Authored,Dutch
Cascaval,Willem Elsschot,Undirected,1648,,,1,Authored,Dutch
Trandafirul de la Agapia,Irina van Goeree,Undirected,1649,,,1,Authored,Dutch
Jurnalul secret al lui Hendrik Groen,Hendrik Groen,Undirected,1650,,,1,Authored,Dutch
Domnisoara Miau,Annie M.G. Schmidt,Undirected,1651,,,1,Authored,Dutch
Aleksandra,Lisa Weeda,Undirected,1652,,,1,Authored,Dutch
La Superba,Ilja Leonard Pfeijffer,Undirected,1653,,,1,Authored,Dutch
Unora le plac roscatele,Jan Wolkers,Undirected,1654,,,1,Authored,Dutch
Aviz generatiilor viitoare. Poezie olandeza contemporana,Anthology Dutch-Romanian,Undirected,1655,,,1,Authored,Dutch
