Id,Label,timeset,type,trnsl_year,original_publ_year,genre,funding,gender,year,Degree,dynamic_degree
Nobletea spiritului – Un ideal uitat,Nobletea spiritului – Un ideal uitat,"<[2008.0, Infinity]>",Book,2008,2008,Nonfiction,Literair Productiefonds,NA,2008,4,"<[2007.0, 2008.0, 4]; [2008.0, 2009.0, 4]; [2009.0, 2010.0, 4]; [2010.0, 2011.0, 4]; [2011.0, 2012.0, 4]; [2012.0, 2013.0, 4]; [2013.0, 2014.0, 4]; [2014.0, 2015.0, 4]; [2015.0, 2016.0, 4]; [2016.0, 2017.0, 4]; [2017.0, 2018.0, 4]; [2018.0, 2019.0, 4]; [2019.0, 2020.0, 4]; [2020.0, 2021.0, 4]; [2021.0, 2022.0, 4]; [2022.0, 2023.0, 4]>"
Rob Riemen,Rob Riemen,"<[2008.0, Infinity]>",Author,NA,NA,NA,NA,Male,2008,1,"<[2007.0, 2008.0, 1]; [2008.0, 2009.0, 1]; [2009.0, 2010.0, 1]; [2010.0, 2011.0, 1]; [2011.0, 2012.0, 1]; [2012.0, 2013.0, 1]; [2013.0, 2014.0, 1]; [2014.0, 2015.0, 1]; [2015.0, 2016.0, 1]; [2016.0, 2017.0, 1]; [2017.0, 2018.0, 1]; [2018.0, 2019.0, 1]; [2019.0, 2020.0, 1]; [2020.0, 2021.0, 1]; [2021.0, 2022.0, 1]; [2022.0, 2023.0, 1]>"
Nunta la malul marii,Nunta la malul marii,"<[2011.0, Infinity]>",Book,2011,1996,Prose,Literair Productiefonds,NA,2011,4,"<[2010.0, 2011.0, 4]; [2011.0, 2012.0, 4]; [2012.0, 2013.0, 4]; [2013.0, 2014.0, 4]; [2014.0, 2015.0, 4]; [2015.0, 2016.0, 4]; [2016.0, 2017.0, 4]; [2017.0, 2018.0, 4]; [2018.0, 2019.0, 4]; [2019.0, 2020.0, 4]; [2020.0, 2021.0, 4]; [2021.0, 2022.0, 4]; [2022.0, 2023.0, 4]>"
Abdelkader Benali,Abdelkader Benali,"<[2011.0, Infinity]>",Author,NA,NA,NA,NA,Male,2011,1,"<[2010.0, 2011.0, 1]; [2011.0, 2012.0, 1]; [2012.0, 2013.0, 1]; [2013.0, 2014.0, 1]; [2014.0, 2015.0, 1]; [2015.0, 2016.0, 1]; [2016.0, 2017.0, 1]; [2017.0, 2018.0, 1]; [2018.0, 2019.0, 1]; [2019.0, 2020.0, 1]; [2020.0, 2021.0, 1]; [2021.0, 2022.0, 1]; [2022.0, 2023.0, 1]>"
Fructul pasiunii,Fructul pasiunii,"<[2010.0, Infinity]>",Book,2010,1999,Prose,Literair Productiefonds,NA,2010,4,"<[2009.0, 2010.0, 4]; [2010.0, 2011.0, 4]; [2011.0, 2012.0, 4]; [2012.0, 2013.0, 4]; [2013.0, 2014.0, 4]; [2014.0, 2015.0, 4]; [2015.0, 2016.0, 4]; [2016.0, 2017.0, 4]; [2017.0, 2018.0, 4]; [2018.0, 2019.0, 4]; [2019.0, 2020.0, 4]; [2020.0, 2021.0, 4]; [2021.0, 2022.0, 4]; [2022.0, 2023.0, 4]>"
Karel Glastra van Loon,Karel Glastra van Loon,"<[2010.0, Infinity]>",Author,NA,NA,NA,NA,Female,2010,1,"<[2009.0, 2010.0, 1]; [2010.0, 2011.0, 1]; [2011.0, 2012.0, 1]; [2012.0, 2013.0, 1]; [2013.0, 2014.0, 1]; [2014.0, 2015.0, 1]; [2015.0, 2016.0, 1]; [2016.0, 2017.0, 1]; [2017.0, 2018.0, 1]; [2018.0, 2019.0, 1]; [2019.0, 2020.0, 1]; [2020.0, 2021.0, 1]; [2021.0, 2022.0, 1]; [2022.0, 2023.0, 1]>"
Copilul-umbra,Copilul-umbra,"<[2008.0, Infinity]>",Book,2008,2003,Memoir,Literair Productiefonds,NA,2008,4,"<[2007.0, 2008.0, 4]; [2008.0, 2009.0, 4]; [2009.0, 2010.0, 4]; [2010.0, 2011.0, 4]; [2011.0, 2012.0, 4]; [2012.0, 2013.0, 4]; [2013.0, 2014.0, 4]; [2014.0, 2015.0, 4]; [2015.0, 2016.0, 4]; [2016.0, 2017.0, 4]; [2017.0, 2018.0, 4]; [2018.0, 2019.0, 4]; [2019.0, 2020.0, 4]; [2020.0, 2021.0, 4]; [2021.0, 2022.0, 4]; [2022.0, 2023.0, 4]>"
P.F. Thomèse,P.F. Thomèse,"<[2008.0, Infinity]>",Author,NA,NA,NA,NA,Male,2008,1,"<[2007.0, 2008.0, 1]; [2008.0, 2009.0, 1]; [2009.0, 2010.0, 1]; [2010.0, 2011.0, 1]; [2011.0, 2012.0, 1]; [2012.0, 2013.0, 1]; [2013.0, 2014.0, 1]; [2014.0, 2015.0, 1]; [2015.0, 2016.0, 1]; [2016.0, 2017.0, 1]; [2017.0, 2018.0, 1]; [2018.0, 2019.0, 1]; [2019.0, 2020.0, 1]; [2020.0, 2021.0, 1]; [2021.0, 2022.0, 1]; [2022.0, 2023.0, 1]>"
in ochii Luciei,in ochii Luciei,"<[2008.0, Infinity]>",Book,2008,2003,Prose,Literair Productiefonds,NA,2008,4,"<[2007.0, 2008.0, 4]; [2008.0, 2009.0, 4]; [2009.0, 2010.0, 4]; [2010.0, 2011.0, 4]; [2011.0, 2012.0, 4]; [2012.0, 2013.0, 4]; [2013.0, 2014.0, 4]; [2014.0, 2015.0, 4]; [2015.0, 2016.0, 4]; [2016.0, 2017.0, 4]; [2017.0, 2018.0, 4]; [2018.0, 2019.0, 4]; [2019.0, 2020.0, 4]; [2020.0, 2021.0, 4]; [2021.0, 2022.0, 4]; [2022.0, 2023.0, 4]>"
Arthur Japin,Arthur Japin,"<[2008.0, Infinity]>",Author,NA,NA,NA,NA,Male,2008,1,"<[2007.0, 2008.0, 1]; [2008.0, 2009.0, 1]; [2009.0, 2010.0, 1]; [2010.0, 2011.0, 1]; [2011.0, 2012.0, 1]; [2012.0, 2013.0, 1]; [2013.0, 2014.0, 1]; [2014.0, 2015.0, 1]; [2015.0, 2016.0, 1]; [2016.0, 2017.0, 1]; [2017.0, 2018.0, 1]; [2018.0, 2019.0, 1]; [2019.0, 2020.0, 1]; [2020.0, 2021.0, 1]; [2021.0, 2022.0, 1]; [2022.0, 2023.0, 1]>"
