Id,Label,timeset,type,trnsl_year,original_publ_year,genre,funding,gender,year,Degree,dynamic_degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber
Ion Creanga,Ion Creanga,"<[2014.0, Infinity]>",Author,NA,NA,NA,NA,Male,2014,2,"<[1990.0466, 1991.0466, 2]; [1991.0466, 1992.0466, 2]; [1992.0466, 1993.0466, 2]; [1993.0466, 1994.0466, 2]; [1994.0466, 1995.0466, 2]; [1995.0466, 1996.0466, 2]; [1996.0466, 1997.0466, 2]; [1997.0466, 1998.0466, 2]; [1998.0466, 1999.0466, 2]; [1999.0466, 2000.0466, 2]; [2000.0466, 2001.0466, 2]; [2001.0466, 2002.0466, 2]; [2002.0466, 2003.0466, 2]; [2003.0466, 2004.0466, 2]; [2004.0466, 2005.0466, 2]; [2005.0466, 2006.0466, 2]; [2006.0466, 2007.0466, 2]; [2007.0466, 2008.0466, 2]; [2008.0466, 2009.0466, 2]; [2009.0466, 2010.0466, 2]; [2010.0466, 2011.0466, 2]; [2011.0466, 2012.0466, 2]; [2012.0466, 2013.0466, 2]; [2013.0466, 2014.0466, 2]; [2014.0466, 2015.0466, 2]; [2015.0466, 2016.0466, 2]; [2016.0466, 2017.0466, 2]; [2017.0466, 2018.0466, 2]; [2018.0466, 2019.0466, 2]; [2019.0466, 2020.0466, 2]; [2020.0466, 2021.0466, 2]; [2021.0466, 2022.0466, 2]>",6,0.278481,0.30197,23.884557,0,0
De andere kant/ Pohemen,De andere kant/ Pohemen,"<[2020.0, Infinity]>",Book,2020,NA,Poetry,Literatuur Vlaanderen,NA,2020,4,"<[1990.0466, 1991.0466, 3]; [1991.0466, 1992.0466, 3]; [1992.0466, 1993.0466, 3]; [1993.0466, 1994.0466, 3]; [1994.0466, 1995.0466, 3]; [1995.0466, 1996.0466, 3]; [1996.0466, 1997.0466, 3]; [1997.0466, 1998.0466, 3]; [1998.0466, 1999.0466, 3]; [1999.0466, 2000.0466, 3]; [2000.0466, 2001.0466, 3]; [2001.0466, 2002.0466, 3]; [2002.0466, 2003.0466, 3]; [2003.0466, 2004.0466, 3]; [2004.0466, 2005.0466, 3]; [2005.0466, 2006.0466, 3]; [2006.0466, 2007.0466, 3]; [2007.0466, 2008.0466, 3]; [2008.0466, 2009.0466, 3]; [2009.0466, 2010.0466, 3]; [2010.0466, 2011.0466, 3]; [2011.0466, 2012.0466, 3]; [2012.0466, 2013.0466, 3]; [2013.0466, 2014.0466, 3]; [2014.0466, 2015.0466, 3]; [2015.0466, 2016.0466, 3]; [2016.0466, 2017.0466, 3]; [2017.0466, 2018.0466, 3]; [2018.0466, 2019.0466, 3]; [2019.0466, 2020.0466, 3]; [2020.0466, 2021.0466, 3]; [2021.0466, 2022.0466, 3]>",7,0.280612,0.332619,41.402817,3,0
Gellu Naum,Gellu Naum,"<[2020.0, Infinity]>",Author,NA,NA,NA,NA,Male,2020,2,"<[1990.0466, 1991.0466, 2]; [1991.0466, 1992.0466, 2]; [1992.0466, 1993.0466, 2]; [1993.0466, 1994.0466, 2]; [1994.0466, 1995.0466, 2]; [1995.0466, 1996.0466, 2]; [1996.0466, 1997.0466, 2]; [1997.0466, 1998.0466, 2]; [1998.0466, 1999.0466, 2]; [1999.0466, 2000.0466, 2]; [2000.0466, 2001.0466, 2]; [2001.0466, 2002.0466, 2]; [2002.0466, 2003.0466, 2]; [2003.0466, 2004.0466, 2]; [2004.0466, 2005.0466, 2]; [2005.0466, 2006.0466, 2]; [2006.0466, 2007.0466, 2]; [2007.0466, 2008.0466, 2]; [2008.0466, 2009.0466, 2]; [2009.0466, 2010.0466, 2]; [2010.0466, 2011.0466, 2]; [2011.0466, 2012.0466, 2]; [2012.0466, 2013.0466, 2]; [2013.0466, 2014.0466, 2]; [2014.0466, 2015.0466, 2]; [2015.0466, 2016.0466, 2]; [2016.0466, 2017.0466, 2]; [2017.0466, 2018.0466, 2]; [2018.0466, 2019.0466, 2]; [2019.0466, 2020.0466, 2]; [2020.0466, 2021.0466, 2]; [2021.0466, 2022.0466, 2]>",6,0.238612,0.266667,1.690705,3,0
De stad met één enkele bewoner,De stad met één enkele bewoner,"<[2019.0, Infinity]>",Book,2019,1982,Poetry,Literatuur Vlaanderen,NA,2019,4,"<[1990.0466, 1991.0466, 4]; [1991.0466, 1992.0466, 4]; [1992.0466, 1993.0466, 4]; [1993.0466, 1994.0466, 4]; [1994.0466, 1995.0466, 4]; [1995.0466, 1996.0466, 4]; [1996.0466, 1997.0466, 4]; [1997.0466, 1998.0466, 4]; [1998.0466, 1999.0466, 4]; [1999.0466, 2000.0466, 4]; [2000.0466, 2001.0466, 4]; [2001.0466, 2002.0466, 4]; [2002.0466, 2003.0466, 4]; [2003.0466, 2004.0466, 4]; [2004.0466, 2005.0466, 4]; [2005.0466, 2006.0466, 4]; [2006.0466, 2007.0466, 4]; [2007.0466, 2008.0466, 4]; [2008.0466, 2009.0466, 4]; [2009.0466, 2010.0466, 4]; [2010.0466, 2011.0466, 4]; [2011.0466, 2012.0466, 4]; [2012.0466, 2013.0466, 4]; [2013.0466, 2014.0466, 4]; [2014.0466, 2015.0466, 4]; [2015.0466, 2016.0466, 4]; [2016.0466, 2017.0466, 4]; [2017.0466, 2018.0466, 4]; [2018.0466, 2019.0466, 4]; [2019.0466, 2020.0466, 4]; [2020.0466, 2021.0466, 4]; [2021.0466, 2022.0466, 4]>",7,0.282051,0.33868,222.628962,3,0
Matei Visniec,Matei Visniec,"<[2019.0, Infinity]>",Author,NA,NA,NA,NA,Male,2019,1,"<[1990.0466, 1991.0466, 1]; [1991.0466, 1992.0466, 1]; [1992.0466, 1993.0466, 1]; [1993.0466, 1994.0466, 1]; [1994.0466, 1995.0466, 1]; [1995.0466, 1996.0466, 1]; [1996.0466, 1997.0466, 1]; [1997.0466, 1998.0466, 1]; [1998.0466, 1999.0466, 1]; [1999.0466, 2000.0466, 1]; [2000.0466, 2001.0466, 1]; [2001.0466, 2002.0466, 1]; [2002.0466, 2003.0466, 1]; [2003.0466, 2004.0466, 1]; [2004.0466, 2005.0466, 1]; [2005.0466, 2006.0466, 1]; [2006.0466, 2007.0466, 1]; [2007.0466, 2008.0466, 1]; [2008.0466, 2009.0466, 1]; [2009.0466, 2010.0466, 1]; [2010.0466, 2011.0466, 1]; [2011.0466, 2012.0466, 1]; [2012.0466, 2013.0466, 1]; [2013.0466, 2014.0466, 1]; [2014.0466, 2015.0466, 1]; [2015.0466, 2016.0466, 1]; [2016.0466, 2017.0466, 1]; [2017.0466, 2018.0466, 1]; [2018.0466, 2019.0466, 1]; [2019.0466, 2020.0466, 1]; [2020.0466, 2021.0466, 1]; [2021.0466, 2022.0466, 1]>",8,0.220441,0.247381,0,3,0
De stilte van een verdronken hond: Postcommunistische poezie in Roemenie,De stilte van een verdronken hond: Postcommunistische poezie in Roemenie,"<[2020.0, Infinity]>",Book,2020,NA,Poetry,Literatuur Vlaanderen,NA,2020,4,"<[1990.0466, 1991.0466, 2]; [1991.0466, 1992.0466, 2]; [1992.0466, 1993.0466, 2]; [1993.0466, 1994.0466, 2]; [1994.0466, 1995.0466, 2]; [1995.0466, 1996.0466, 2]; [1996.0466, 1997.0466, 2]; [1997.0466, 1998.0466, 2]; [1998.0466, 1999.0466, 2]; [1999.0466, 2000.0466, 2]; [2000.0466, 2001.0466, 2]; [2001.0466, 2002.0466, 2]; [2002.0466, 2003.0466, 2]; [2003.0466, 2004.0466, 2]; [2004.0466, 2005.0466, 2]; [2005.0466, 2006.0466, 2]; [2006.0466, 2007.0466, 2]; [2007.0466, 2008.0466, 2]; [2008.0466, 2009.0466, 2]; [2009.0466, 2010.0466, 2]; [2010.0466, 2011.0466, 2]; [2011.0466, 2012.0466, 2]; [2012.0466, 2013.0466, 2]; [2013.0466, 2014.0466, 2]; [2014.0466, 2015.0466, 2]; [2015.0466, 2016.0466, 2]; [2016.0466, 2017.0466, 2]; [2017.0466, 2018.0466, 2]; [2018.0466, 2019.0466, 2]; [2019.0466, 2020.0466, 2]; [2020.0466, 2021.0466, 2]; [2021.0466, 2022.0466, 2]>",7,0.279188,0.326558,10.394661,3,0
Zenobia,Zenobia,"<[2020.0, Infinity]>",Book,2020,1985,Prose,Literatuur Vlaanderen,NA,2020,4,"<[1990.0466, 1991.0466, 4]; [1991.0466, 1992.0466, 4]; [1992.0466, 1993.0466, 4]; [1993.0466, 1994.0466, 4]; [1994.0466, 1995.0466, 4]; [1995.0466, 1996.0466, 4]; [1996.0466, 1997.0466, 4]; [1997.0466, 1998.0466, 4]; [1998.0466, 1999.0466, 4]; [1999.0466, 2000.0466, 4]; [2000.0466, 2001.0466, 4]; [2001.0466, 2002.0466, 4]; [2002.0466, 2003.0466, 4]; [2003.0466, 2004.0466, 4]; [2004.0466, 2005.0466, 4]; [2005.0466, 2006.0466, 4]; [2006.0466, 2007.0466, 4]; [2007.0466, 2008.0466, 4]; [2008.0466, 2009.0466, 4]; [2009.0466, 2010.0466, 4]; [2010.0466, 2011.0466, 4]; [2011.0466, 2012.0466, 4]; [2012.0466, 2013.0466, 4]; [2013.0466, 2014.0466, 4]; [2014.0466, 2015.0466, 4]; [2015.0466, 2016.0466, 4]; [2016.0466, 2017.0466, 4]; [2017.0466, 2018.0466, 4]; [2018.0466, 2019.0466, 4]; [2019.0466, 2020.0466, 4]; [2020.0466, 2021.0466, 4]; [2021.0466, 2022.0466, 4]>",5,0.310734,0.360606,174.229256,3,0
De glazen tuin,De glazen tuin,"<[2023.0, Infinity]>",Book,2023,2018,Prose,Nederlands Letterenfonds,NA,2023,4,"<[1990.0466, 1991.0466, 4]; [1991.0466, 1992.0466, 4]; [1992.0466, 1993.0466, 4]; [1993.0466, 1994.0466, 4]; [1994.0466, 1995.0466, 4]; [1995.0466, 1996.0466, 4]; [1996.0466, 1997.0466, 4]; [1997.0466, 1998.0466, 4]; [1998.0466, 1999.0466, 4]; [1999.0466, 2000.0466, 4]; [2000.0466, 2001.0466, 4]; [2001.0466, 2002.0466, 4]; [2002.0466, 2003.0466, 4]; [2003.0466, 2004.0466, 4]; [2004.0466, 2005.0466, 4]; [2005.0466, 2006.0466, 4]; [2006.0466, 2007.0466, 4]; [2007.0466, 2008.0466, 4]; [2008.0466, 2009.0466, 4]; [2009.0466, 2010.0466, 4]; [2010.0466, 2011.0466, 4]; [2011.0466, 2012.0466, 4]; [2012.0466, 2013.0466, 4]; [2013.0466, 2014.0466, 4]; [2014.0466, 2015.0466, 4]; [2015.0466, 2016.0466, 4]; [2016.0466, 2017.0466, 4]; [2017.0466, 2018.0466, 4]; [2018.0466, 2019.0466, 4]; [2019.0466, 2020.0466, 4]; [2020.0466, 2021.0466, 4]; [2021.0466, 2022.0466, 4]>",7,0.205224,0.247944,259.53534,5,0
Tatiana Tibuleac,Tatiana Tibuleac,"<[2023.0, Infinity]>",Author,NA,NA,NA,NA,Female,2023,1,"<[1990.0466, 1991.0466, 1]; [1991.0466, 1992.0466, 1]; [1992.0466, 1993.0466, 1]; [1993.0466, 1994.0466, 1]; [1994.0466, 1995.0466, 1]; [1995.0466, 1996.0466, 1]; [1996.0466, 1997.0466, 1]; [1997.0466, 1998.0466, 1]; [1998.0466, 1999.0466, 1]; [1999.0466, 2000.0466, 1]; [2000.0466, 2001.0466, 1]; [2001.0466, 2002.0466, 1]; [2002.0466, 2003.0466, 1]; [2003.0466, 2004.0466, 1]; [2004.0466, 2005.0466, 1]; [2005.0466, 2006.0466, 1]; [2006.0466, 2007.0466, 1]; [2007.0466, 2008.0466, 1]; [2008.0466, 2009.0466, 1]; [2009.0466, 2010.0466, 1]; [2010.0466, 2011.0466, 1]; [2011.0466, 2012.0466, 1]; [2012.0466, 2013.0466, 1]; [2013.0466, 2014.0466, 1]; [2014.0466, 2015.0466, 1]; [2015.0466, 2016.0466, 1]; [2016.0466, 2017.0466, 1]; [2017.0466, 2018.0466, 1]; [2018.0466, 2019.0466, 1]; [2019.0466, 2020.0466, 1]; [2020.0466, 2021.0466, 1]; [2021.0466, 2022.0466, 1]>",8,0.170543,0.193074,0,5,0
Solenoïde,Solenoïde,"<[2022.0, Infinity]>",Book,2022,2015,Prose,Nederlands Letterenfonds,NA,2022,4,"<[1990.0466, 1991.0466, 4]; [1991.0466, 1992.0466, 4]; [1992.0466, 1993.0466, 4]; [1993.0466, 1994.0466, 4]; [1994.0466, 1995.0466, 4]; [1995.0466, 1996.0466, 4]; [1996.0466, 1997.0466, 4]; [1997.0466, 1998.0466, 4]; [1998.0466, 1999.0466, 4]; [1999.0466, 2000.0466, 4]; [2000.0466, 2001.0466, 4]; [2001.0466, 2002.0466, 4]; [2002.0466, 2003.0466, 4]; [2003.0466, 2004.0466, 4]; [2004.0466, 2005.0466, 4]; [2005.0466, 2006.0466, 4]; [2006.0466, 2007.0466, 4]; [2007.0466, 2008.0466, 4]; [2008.0466, 2009.0466, 4]; [2009.0466, 2010.0466, 4]; [2010.0466, 2011.0466, 4]; [2011.0466, 2012.0466, 4]; [2012.0466, 2013.0466, 4]; [2013.0466, 2014.0466, 4]; [2014.0466, 2015.0466, 4]; [2015.0466, 2016.0466, 4]; [2016.0466, 2017.0466, 4]; [2017.0466, 2018.0466, 4]; [2018.0466, 2019.0466, 4]; [2019.0466, 2020.0466, 4]; [2020.0466, 2021.0466, 4]; [2021.0466, 2022.0466, 4]>",5,0.282051,0.331364,54.131878,4,0
